Variable,Value
"('10M', 6, 53)",0.0
"('10M', 6, 54)",0.0
"('10M', 6, 55)",0.0
"('10M', 6, 56)",0.0
"('10M', 6, 57)",0.0
"('10M', 6, 58)",0.0
"('10M', 6, 59)",0.0
"('10M', 6, 60)",0.0
"('10M', 6, 61)",0.0
"('10M', 6, 62)",0.0
"('10M', 6, 63)",0.0
"('10M', 6, 64)",0.0
"('10M', 6, 65)",0.0
"('10M', 6, 66)",0.0
"('10M', 6, 67)",0.0
"('10M', 6, 68)",0.0
"('10M', 6, 69)",0.0
"('10M', 6, 70)",0.0
"('10M', 6, 71)",0.0
"('10M', 6, 72)",0.0
"('10M', 7, 1)",0.0
"('10M', 7, 2)",0.0
"('10M', 7, 3)",0.0
"('10M', 7, 4)",0.0
"('10M', 7, 5)",0.0
"('10M', 7, 6)",0.0
"('10M', 7, 7)",0.0
"('10M', 7, 8)",0.0
"('10M', 7, 9)",0.0
"('10M', 7, 10)",0.0
"('10M', 7, 11)",0.0
"('10M', 7, 12)",0.0
"('10M', 7, 13)",0.0
"('10M', 7, 14)",0.0
"('10M', 7, 15)",0.0
"('10M', 7, 16)",0.0
"('10M', 7, 17)",0.0
"('10M', 7, 18)",0.0
"('10M', 7, 19)",0.0
"('10M', 7, 20)",0.0
"('10M', 7, 21)",0.0
"('10M', 7, 22)",0.0
"('10M', 7, 23)",0.0
"('10M', 7, 24)",0.0
"('10M', 7, 25)",0.0
"('10M', 7, 26)",0.0
"('10M', 7, 27)",0.0
"('10M', 7, 28)",0.0
"('10M', 7, 29)",0.0
"('10M', 7, 30)",0.0
"('10M', 7, 31)",0.0
"('10M', 7, 32)",0.0
"('10M', 7, 33)",0.0
"('10M', 7, 34)",0.0
"('10M', 7, 35)",0.0
"('10M', 7, 36)",0.0
"('10M', 7, 37)",0.0
"('10M', 7, 38)",0.0
"('10M', 7, 39)",0.0
"('10M', 7, 40)",0.0
"('10M', 7, 41)",0.0
"('10M', 7, 42)",0.0
"('10M', 7, 43)",0.0
"('10M', 7, 44)",0.0
"('10M', 7, 45)",0.0
"('10M', 7, 46)",0.0
"('10M', 7, 47)",0.0
"('10M', 7, 48)",0.0
"('10M', 7, 49)",0.0
"('10M', 7, 50)",0.0
"('10M', 7, 51)",0.0
"('10M', 7, 52)",0.0
"('10M', 7, 53)",0.0
"('10M', 7, 54)",0.0
"('10M', 7, 55)",0.0
"('10M', 7, 56)",0.0
"('10M', 7, 57)",0.0
"('10M', 7, 58)",0.0
"('10M', 7, 59)",0.0
"('10M', 7, 60)",0.0
"('10M', 7, 61)",0.0
"('10M', 7, 62)",0.0
